[PAYEMS | 1/127 | month_open] 2016-01 as of 2016-01-01
[PAYEMS | 79/127 | after_week_2] 2022-07 as of 2022-07-14
[PAYEMS | 79/127 | month_end] 2022-07 as of 2022-07-31
[PAYEMS | 79/127 | pre_employment_report] 2022-07 as of 2022-08-04
[PAYEMS | 80/127 | month_open] 2022-08 as of 2022-08-01
[PAYEMS | 80/127 | after_week_1] 2022-08 as of 2022-08-07
[PAYEMS | 80/127 | after_week_2] 2022-08 as of 2022-08-14
[PAYEMS | 80/127 | month_end] 2022-08 as of 2022-08-31
[PAYEMS | 80/127 | pre_employment_report] 2022-08 as of 2022-09-01
[PAYEMS | 81/127 | month_open] 2022-09 as of 2022-09-01
[PAYEMS | 81/127 | after_week_1] 2022-09 as of 2022-09-07
[PAYEMS | 81/127 | after_week_2] 2022-09 as of 2022-09-14
[PAYEMS | 81/127 | month_end] 2022-09 as of 2022-09-30
[PAYEMS | 81/127 | pre_employment_report] 2022-09 as of 2022-10-06
[PAYEMS | 82/127 | month_open] 2022-10 as of 2022-10-01
[PAYEMS | 82/127 | after_week_1] 2022-10 as of 2022-10-07
[PAYEMS | 82/127 | after_week_2] 2022-10 as of 2022-10-14
[PAYEMS | 82/127 | month_end] 2022-10 as of 2022-10-31
[PAYEMS | 82/127 | pre_employment_report] 2022-10 as of 2022-11-03
[PAYEMS | 83/127 | month_open] 2022-11 as of 2022-11-01
[PAYEMS | 83/127 | after_week_1] 2022-11 as of 2022-11-07
[PAYEMS | 83/127 | after_week_2] 2022-11 as of 2022-11-14
[PAYEMS | 83/127 | month_end] 2022-11 as of 2022-11-30
[PAYEMS | 83/127 | pre_employment_report] 2022-11 as of 2022-12-01
[PAYEMS | 84/127 | month_open] 2022-12 as of 2022-12-01
[PAYEMS | 84/127 | after_week_1] 2022-12 as of 2022-12-07
[PAYEMS | 84/127 | after_week_2] 2022-12 as of 2022-12-14
[PAYEMS | 84/127 | month_end] 2022-12 as of 2022-12-31
[PAYEMS | 84/127 | pre_employment_report] 2022-12 as of 2023-01-05
[PAYEMS | 85/127 | month_open] 2023-01 as of 2023-01-01
[PAYEMS | 85/127 | after_week_1] 2023-01 as of 2023-01-07
[PAYEMS | 85/127 | after_week_2] 2023-01 as of 2023-01-14
[PAYEMS | 85/127 | month_end] 2023-01 as of 2023-01-31
[PAYEMS | 85/127 | pre_employment_report] 2023-01 as of 2023-02-02
[PAYEMS | 86/127 | month_open] 2023-02 as of 2023-02-01
[PAYEMS | 86/127 | after_week_1] 2023-02 as of 2023-02-07
[PAYEMS | 86/127 | after_week_2] 2023-02 as of 2023-02-14
[PAYEMS | 86/127 | month_end] 2023-02 as of 2023-02-28
[PAYEMS | 86/127 | pre_employment_report] 2023-02 as of 2023-03-09
[PAYEMS | 87/127 | month_open] 2023-03 as of 2023-03-01
[PAYEMS | 87/127 | after_week_1] 2023-03 as of 2023-03-07
[PAYEMS | 87/127 | after_week_2] 2023-03 as of 2023-03-14
[PAYEMS | 87/127 | month_end] 2023-03 as of 2023-03-31
[PAYEMS | 87/127 | pre_employment_report] 2023-03 as of 2023-04-06
[PAYEMS | 88/127 | month_open] 2023-04 as of 2023-04-01
[PAYEMS | 88/127 | after_week_1] 2023-04 as of 2023-04-07
[PAYEMS | 88/127 | after_week_2] 2023-04 as of 2023-04-14
[PAYEMS | 88/127 | month_end] 2023-04 as of 2023-04-30
[PAYEMS | 88/127 | pre_employment_report] 2023-04 as of 2023-05-04
[PAYEMS | 89/127 | month_open] 2023-05 as of 2023-05-01
[PAYEMS | 89/127 | after_week_1] 2023-05 as of 2023-05-07
[PAYEMS | 89/127 | after_week_2] 2023-05 as of 2023-05-14
[PAYEMS | 89/127 | month_end] 2023-05 as of 2023-05-31
[PAYEMS | 89/127 | pre_employment_report] 2023-05 as of 2023-06-01
[PAYEMS | 90/127 | month_open] 2023-06 as of 2023-06-01
[PAYEMS | 90/127 | after_week_1] 2023-06 as of 2023-06-07
[PAYEMS | 90/127 | after_week_2] 2023-06 as of 2023-06-14
[PAYEMS | 90/127 | month_end] 2023-06 as of 2023-06-30
[PAYEMS | 90/127 | pre_employment_report] 2023-06 as of 2023-07-06
[PAYEMS | 91/127 | month_open] 2023-07 as of 2023-07-01
[PAYEMS | 91/127 | after_week_1] 2023-07 as of 2023-07-07
[PAYEMS | 91/127 | after_week_2] 2023-07 as of 2023-07-14
[PAYEMS | 91/127 | month_end] 2023-07 as of 2023-07-31
[PAYEMS | 91/127 | pre_employment_report] 2023-07 as of 2023-08-03
[PAYEMS | 92/127 | month_open] 2023-08 as of 2023-08-01
  FRED transient HTTP 500; retry 1/7 in 2.4s...
[PAYEMS | 92/127 | after_week_1] 2023-08 as of 2023-08-07
[PAYEMS | 92/127 | after_week_2] 2023-08 as of 2023-08-14
[PAYEMS | 92/127 | month_end] 2023-08 as of 2023-08-31
[PAYEMS | 92/127 | pre_employment_report] 2023-08 as of 2023-08-31
[PAYEMS | 93/127 | month_open] 2023-09 as of 2023-09-01
[PAYEMS | 93/127 | after_week_1] 2023-09 as of 2023-09-07
[PAYEMS | 93/127 | after_week_2] 2023-09 as of 2023-09-14
[PAYEMS | 93/127 | month_end] 2023-09 as of 2023-09-30
[PAYEMS | 93/127 | pre_employment_report] 2023-09 as of 2023-10-05
[PAYEMS | 94/127 | month_open] 2023-10 as of 2023-10-01
[PAYEMS | 94/127 | after_week_1] 2023-10 as of 2023-10-07
[PAYEMS | 94/127 | after_week_2] 2023-10 as of 2023-10-14
[PAYEMS | 94/127 | month_end] 2023-10 as of 2023-10-31
[PAYEMS | 94/127 | pre_employment_report] 2023-10 as of 2023-11-02
[PAYEMS | 95/127 | month_open] 2023-11 as of 2023-11-01
[PAYEMS | 95/127 | after_week_1] 2023-11 as of 2023-11-07
[PAYEMS | 95/127 | after_week_2] 2023-11 as of 2023-11-14
[PAYEMS | 95/127 | month_end] 2023-11 as of 2023-11-30
[PAYEMS | 95/127 | pre_employment_report] 2023-11 as of 2023-12-07
[PAYEMS | 96/127 | month_open] 2023-12 as of 2023-12-01
[PAYEMS | 96/127 | after_week_1] 2023-12 as of 2023-12-07
[PAYEMS | 96/127 | after_week_2] 2023-12 as of 2023-12-14
[PAYEMS | 96/127 | month_end] 2023-12 as of 2023-12-31
[PAYEMS | 96/127 | pre_employment_report] 2023-12 as of 2024-01-04
[PAYEMS | 97/127 | month_open] 2024-01 as of 2024-01-01
[PAYEMS | 97/127 | after_week_1] 2024-01 as of 2024-01-07
[PAYEMS | 97/127 | after_week_2] 2024-01 as of 2024-01-14
[PAYEMS | 97/127 | month_end] 2024-01 as of 2024-01-31
[PAYEMS | 97/127 | pre_employment_report] 2024-01 as of 2024-02-01
[PAYEMS | 98/127 | month_open] 2024-02 as of 2024-02-01
[PAYEMS | 98/127 | after_week_1] 2024-02 as of 2024-02-07
[PAYEMS | 98/127 | after_week_2] 2024-02 as of 2024-02-14
[PAYEMS | 98/127 | month_end] 2024-02 as of 2024-02-29
[PAYEMS | 98/127 | pre_employment_report] 2024-02 as of 2024-03-07
[PAYEMS | 99/127 | month_open] 2024-03 as of 2024-03-01
[PAYEMS | 99/127 | after_week_1] 2024-03 as of 2024-03-07
[PAYEMS | 99/127 | after_week_2] 2024-03 as of 2024-03-14
[PAYEMS | 99/127 | month_end] 2024-03 as of 2024-03-31
[PAYEMS | 99/127 | pre_employment_report] 2024-03 as of 2024-04-04
[PAYEMS | 100/127 | month_open] 2024-04 as of 2024-04-01
[PAYEMS | 100/127 | after_week_1] 2024-04 as of 2024-04-07
[PAYEMS | 100/127 | after_week_2] 2024-04 as of 2024-04-14
[PAYEMS | 100/127 | month_end] 2024-04 as of 2024-04-30
[PAYEMS | 100/127 | pre_employment_report] 2024-04 as of 2024-05-02
[PAYEMS | 101/127 | month_open] 2024-05 as of 2024-05-01
[PAYEMS | 101/127 | after_week_1] 2024-05 as of 2024-05-07
[PAYEMS | 101/127 | after_week_2] 2024-05 as of 2024-05-14
[PAYEMS | 101/127 | month_end] 2024-05 as of 2024-05-31
[PAYEMS | 101/127 | pre_employment_report] 2024-05 as of 2024-06-06
[PAYEMS | 102/127 | month_open] 2024-06 as of 2024-06-01
[PAYEMS | 102/127 | after_week_1] 2024-06 as of 2024-06-07
[PAYEMS | 102/127 | after_week_2] 2024-06 as of 2024-06-14
[PAYEMS | 102/127 | month_end] 2024-06 as of 2024-06-30
[PAYEMS | 102/127 | pre_employment_report] 2024-06 as of 2024-07-04
[PAYEMS | 103/127 | month_open] 2024-07 as of 2024-07-01
[PAYEMS | 103/127 | after_week_1] 2024-07 as of 2024-07-07
[PAYEMS | 103/127 | after_week_2] 2024-07 as of 2024-07-14
[PAYEMS | 103/127 | month_end] 2024-07 as of 2024-07-31
[PAYEMS | 103/127 | pre_employment_report] 2024-07 as of 2024-08-01
[PAYEMS | 104/127 | month_open] 2024-08 as of 2024-08-01
[PAYEMS | 104/127 | after_week_1] 2024-08 as of 2024-08-07
[PAYEMS | 104/127 | after_week_2] 2024-08 as of 2024-08-14
[PAYEMS | 104/127 | month_end] 2024-08 as of 2024-08-31
[PAYEMS | 104/127 | pre_employment_report] 2024-08 as of 2024-09-05
[PAYEMS | 105/127 | month_open] 2024-09 as of 2024-09-01
[PAYEMS | 105/127 | after_week_1] 2024-09 as of 2024-09-07
[PAYEMS | 105/127 | after_week_2] 2024-09 as of 2024-09-14
[PAYEMS | 105/127 | month_end] 2024-09 as of 2024-09-30
[PAYEMS | 105/127 | pre_employment_report] 2024-09 as of 2024-10-03
[PAYEMS | 106/127 | month_open] 2024-10 as of 2024-10-01
[PAYEMS | 106/127 | after_week_1] 2024-10 as of 2024-10-07
[PAYEMS | 106/127 | after_week_2] 2024-10 as of 2024-10-14
[PAYEMS | 106/127 | month_end] 2024-10 as of 2024-10-31
[PAYEMS | 106/127 | pre_employment_report] 2024-10 as of 2024-10-31
[PAYEMS | 107/127 | month_open] 2024-11 as of 2024-11-01
[PAYEMS | 107/127 | after_week_1] 2024-11 as of 2024-11-07
[PAYEMS | 107/127 | after_week_2] 2024-11 as of 2024-11-14
[PAYEMS | 107/127 | month_end] 2024-11 as of 2024-11-30
[PAYEMS | 107/127 | pre_employment_report] 2024-11 as of 2024-12-05
[PAYEMS | 108/127 | month_open] 2024-12 as of 2024-12-01
[PAYEMS | 108/127 | after_week_1] 2024-12 as of 2024-12-07
[PAYEMS | 108/127 | after_week_2] 2024-12 as of 2024-12-14
[PAYEMS | 108/127 | month_end] 2024-12 as of 2024-12-31
[PAYEMS | 108/127 | pre_employment_report] 2024-12 as of 2025-01-09
[PAYEMS | 109/127 | month_open] 2025-01 as of 2025-01-01
[PAYEMS | 109/127 | after_week_1] 2025-01 as of 2025-01-07
[PAYEMS | 109/127 | after_week_2] 2025-01 as of 2025-01-14
[PAYEMS | 109/127 | month_end] 2025-01 as of 2025-01-31
[PAYEMS | 109/127 | pre_employment_report] 2025-01 as of 2025-02-06
[PAYEMS | 110/127 | month_open] 2025-02 as of 2025-02-01
[PAYEMS | 110/127 | after_week_1] 2025-02 as of 2025-02-07
[PAYEMS | 110/127 | after_week_2] 2025-02 as of 2025-02-14
[PAYEMS | 110/127 | month_end] 2025-02 as of 2025-02-28
[PAYEMS | 110/127 | pre_employment_report] 2025-02 as of 2025-03-06
[PAYEMS | 111/127 | month_open] 2025-03 as of 2025-03-01
[PAYEMS | 111/127 | after_week_1] 2025-03 as of 2025-03-07
[PAYEMS | 111/127 | after_week_2] 2025-03 as of 2025-03-14
[PAYEMS | 111/127 | month_end] 2025-03 as of 2025-03-31
[PAYEMS | 111/127 | pre_employment_report] 2025-03 as of 2025-04-03
[PAYEMS | 112/127 | month_open] 2025-04 as of 2025-04-01
[PAYEMS | 112/127 | after_week_1] 2025-04 as of 2025-04-07
[PAYEMS | 112/127 | after_week_2] 2025-04 as of 2025-04-14
[PAYEMS | 112/127 | month_end] 2025-04 as of 2025-04-30
[PAYEMS | 112/127 | pre_employment_report] 2025-04 as of 2025-05-01
[PAYEMS | 113/127 | month_open] 2025-05 as of 2025-05-01
[PAYEMS | 113/127 | after_week_1] 2025-05 as of 2025-05-07
[PAYEMS | 113/127 | after_week_2] 2025-05 as of 2025-05-14
[PAYEMS | 113/127 | month_end] 2025-05 as of 2025-05-31
[PAYEMS | 113/127 | pre_employment_report] 2025-05 as of 2025-06-05
[PAYEMS | 114/127 | month_open] 2025-06 as of 2025-06-01
[PAYEMS | 114/127 | after_week_1] 2025-06 as of 2025-06-07
[PAYEMS | 114/127 | after_week_2] 2025-06 as of 2025-06-14
[PAYEMS | 114/127 | month_end] 2025-06 as of 2025-06-30
[PAYEMS | 114/127 | pre_employment_report] 2025-06 as of 2025-07-02
[PAYEMS | 115/127 | month_open] 2025-07 as of 2025-07-01
[PAYEMS | 115/127 | after_week_1] 2025-07 as of 2025-07-07
[PAYEMS | 115/127 | after_week_2] 2025-07 as of 2025-07-14
[PAYEMS | 115/127 | month_end] 2025-07 as of 2025-07-31
[PAYEMS | 115/127 | pre_employment_report] 2025-07 as of 2025-07-31
[PAYEMS | 116/127 | month_open] 2025-08 as of 2025-08-01
[PAYEMS | 116/127 | after_week_1] 2025-08 as of 2025-08-07
[PAYEMS | 116/127 | after_week_2] 2025-08 as of 2025-08-14
[PAYEMS | 116/127 | month_end] 2025-08 as of 2025-08-31
[PAYEMS | 116/127 | pre_employment_report] 2025-08 as of 2025-09-04
[PAYEMS | 117/127 | month_open] 2025-09 as of 2025-09-01
[PAYEMS | 117/127 | after_week_1] 2025-09 as of 2025-09-07
[PAYEMS | 117/127 | after_week_2] 2025-09 as of 2025-09-14
[PAYEMS | 117/127 | month_end] 2025-09 as of 2025-09-30
[PAYEMS | 117/127 | pre_employment_report] 2025-09 as of 2025-11-19
[PAYEMS | 118/127 | month_open] 2025-10 as of 2025-10-01
[PAYEMS | 118/127 | after_week_1] 2025-10 as of 2025-10-07
[PAYEMS | 118/127 | after_week_2] 2025-10 as of 2025-10-14
[PAYEMS | 118/127 | month_end] 2025-10 as of 2025-10-31
[PAYEMS | 118/127 | pre_employment_report] 2025-10 as of 2025-12-15
[PAYEMS | 119/127 | month_open] 2025-11 as of 2025-11-01
[PAYEMS | 119/127 | after_week_1] 2025-11 as of 2025-11-07
[PAYEMS | 119/127 | after_week_2] 2025-11 as of 2025-11-14
[PAYEMS | 119/127 | month_end] 2025-11 as of 2025-11-30
[PAYEMS | 119/127 | pre_employment_report] 2025-11 as of 2025-12-15
[PAYEMS | 120/127 | month_open] 2025-12 as of 2025-12-01
[PAYEMS | 120/127 | after_week_1] 2025-12 as of 2025-12-07
[PAYEMS | 120/127 | after_week_2] 2025-12 as of 2025-12-14
[PAYEMS | 120/127 | month_end] 2025-12 as of 2025-12-31
[PAYEMS | 120/127 | pre_employment_report] 2025-12 as of 2026-01-08
[PAYEMS | 121/127 | month_open] 2026-01 as of 2026-01-01
[PAYEMS | 121/127 | after_week_1] 2026-01 as of 2026-01-07
[PAYEMS | 121/127 | after_week_2] 2026-01 as of 2026-01-14
[PAYEMS | 121/127 | month_end] 2026-01 as of 2026-01-31
[PAYEMS | 121/127 | pre_employment_report] 2026-01 as of 2026-02-10
[PAYEMS | 122/127 | month_open] 2026-02 as of 2026-02-01
[PAYEMS | 122/127 | after_week_1] 2026-02 as of 2026-02-07
[PAYEMS | 122/127 | after_week_2] 2026-02 as of 2026-02-14
[PAYEMS | 122/127 | month_end] 2026-02 as of 2026-02-28
[PAYEMS | 122/127 | pre_employment_report] 2026-02 as of 2026-03-05
[PAYEMS | 123/127 | month_open] 2026-03 as of 2026-03-01
[PAYEMS | 123/127 | after_week_1] 2026-03 as of 2026-03-07
[PAYEMS | 123/127 | after_week_2] 2026-03 as of 2026-03-14
[PAYEMS | 123/127 | month_end] 2026-03 as of 2026-03-31
[PAYEMS | 123/127 | pre_employment_report] 2026-03 as of 2026-04-02
[PAYEMS | 124/127 | month_open] 2026-04 as of 2026-04-01
[PAYEMS | 124/127 | after_week_1] 2026-04 as of 2026-04-07
[PAYEMS | 124/127 | after_week_2] 2026-04 as of 2026-04-14
[PAYEMS | 124/127 | month_end] 2026-04 as of 2026-04-30
[PAYEMS | 124/127 | pre_employment_report] 2026-04 as of 2026-05-07
[PAYEMS | 125/127 | month_open] 2026-05 as of 2026-05-01
[PAYEMS | 125/127 | after_week_1] 2026-05 as of 2026-05-07
[PAYEMS | 125/127 | after_week_2] 2026-05 as of 2026-05-14
[PAYEMS | 125/127 | month_end] 2026-05 as of 2026-05-31
[PAYEMS | 125/127 | pre_employment_report] 2026-05 as of 2026-06-04
[PAYEMS | 126/127 | month_open] 2026-06 as of 2026-06-01
[PAYEMS | 126/127 | after_week_1] 2026-06 as of 2026-06-07
[PAYEMS | 126/127 | after_week_2] 2026-06 as of 2026-06-14
[PAYEMS | 126/127 | month_end] 2026-06 as of 2026-06-30
[PAYEMS | 126/127 | pre_employment_report] 2026-06 as of 2026-07-01
[UNRATE | 1/127 | month_open] 2016-01 as of 2016-01-01
[UNRATE | 1/127 | after_week_1] 2016-01 as of 2016-01-07
[UNRATE | 1/127 | after_week_2] 2016-01 as of 2016-01-14
[UNRATE | 1/127 | month_end] 2016-01 as of 2016-01-31
[UNRATE | 1/127 | pre_employment_report] 2016-01 as of 2016-02-04
[UNRATE | 2/127 | month_open] 2016-02 as of 2016-02-01
[UNRATE | 2/127 | after_week_1] 2016-02 as of 2016-02-07
[UNRATE | 2/127 | after_week_2] 2016-02 as of 2016-02-14
[UNRATE | 2/127 | month_end] 2016-02 as of 2016-02-29
[UNRATE | 2/127 | pre_employment_report] 2016-02 as of 2016-03-03
[UNRATE | 3/127 | month_open] 2016-03 as of 2016-03-01
[UNRATE | 3/127 | after_week_1] 2016-03 as of 2016-03-07
[UNRATE | 3/127 | after_week_2] 2016-03 as of 2016-03-14
[UNRATE | 3/127 | month_end] 2016-03 as of 2016-03-31
[UNRATE | 3/127 | pre_employment_report] 2016-03 as of 2016-03-31
[UNRATE | 4/127 | month_open] 2016-04 as of 2016-04-01
[UNRATE | 4/127 | after_week_1] 2016-04 as of 2016-04-07
[UNRATE | 4/127 | after_week_2] 2016-04 as of 2016-04-14
[UNRATE | 4/127 | month_end] 2016-04 as of 2016-04-30
[UNRATE | 4/127 | pre_employment_report] 2016-04 as of 2016-05-05
[UNRATE | 5/127 | month_open] 2016-05 as of 2016-05-01
[UNRATE | 5/127 | after_week_1] 2016-05 as of 2016-05-07
[UNRATE | 5/127 | after_week_2] 2016-05 as of 2016-05-14
[UNRATE | 5/127 | month_end] 2016-05 as of 2016-05-31
[UNRATE | 5/127 | pre_employment_report] 2016-05 as of 2016-06-02
[UNRATE | 6/127 | month_open] 2016-06 as of 2016-06-01
[UNRATE | 6/127 | after_week_1] 2016-06 as of 2016-06-07
[UNRATE | 6/127 | after_week_2] 2016-06 as of 2016-06-14
[UNRATE | 6/127 | month_end] 2016-06 as of 2016-06-30
[UNRATE | 6/127 | pre_employment_report] 2016-06 as of 2016-07-07
[UNRATE | 7/127 | month_open] 2016-07 as of 2016-07-01
[UNRATE | 7/127 | after_week_1] 2016-07 as of 2016-07-07
[UNRATE | 7/127 | after_week_2] 2016-07 as of 2016-07-14
[UNRATE | 7/127 | month_end] 2016-07 as of 2016-07-31
[UNRATE | 7/127 | pre_employment_report] 2016-07 as of 2016-08-04
[UNRATE | 8/127 | month_open] 2016-08 as of 2016-08-01
[UNRATE | 8/127 | after_week_1] 2016-08 as of 2016-08-07
[UNRATE | 8/127 | after_week_2] 2016-08 as of 2016-08-14
[UNRATE | 8/127 | month_end] 2016-08 as of 2016-08-31
[UNRATE | 8/127 | pre_employment_report] 2016-08 as of 2016-09-01
[UNRATE | 9/127 | month_open] 2016-09 as of 2016-09-01
[UNRATE | 9/127 | after_week_1] 2016-09 as of 2016-09-07
[UNRATE | 9/127 | after_week_2] 2016-09 as of 2016-09-14
[UNRATE | 9/127 | month_end] 2016-09 as of 2016-09-30
[UNRATE | 9/127 | pre_employment_report] 2016-09 as of 2016-10-06
[UNRATE | 10/127 | month_open] 2016-10 as of 2016-10-01
[UNRATE | 10/127 | after_week_1] 2016-10 as of 2016-10-07
[UNRATE | 10/127 | after_week_2] 2016-10 as of 2016-10-14
[UNRATE | 10/127 | month_end] 2016-10 as of 2016-10-31
[UNRATE | 10/127 | pre_employment_report] 2016-10 as of 2016-11-03
[UNRATE | 11/127 | month_open] 2016-11 as of 2016-11-01
[UNRATE | 11/127 | after_week_1] 2016-11 as of 2016-11-07
[UNRATE | 11/127 | after_week_2] 2016-11 as of 2016-11-14
[UNRATE | 11/127 | month_end] 2016-11 as of 2016-11-30
[UNRATE | 11/127 | pre_employment_report] 2016-11 as of 2016-12-01
[UNRATE | 12/127 | month_open] 2016-12 as of 2016-12-01
[UNRATE | 12/127 | after_week_1] 2016-12 as of 2016-12-07
[UNRATE | 12/127 | after_week_2] 2016-12 as of 2016-12-14
[UNRATE | 12/127 | month_end] 2016-12 as of 2016-12-31
[UNRATE | 12/127 | pre_employment_report] 2016-12 as of 2017-01-05
[UNRATE | 13/127 | month_open] 2017-01 as of 2017-01-01
[UNRATE | 13/127 | after_week_1] 2017-01 as of 2017-01-07
[UNRATE | 13/127 | after_week_2] 2017-01 as of 2017-01-14
[UNRATE | 13/127 | month_end] 2017-01 as of 2017-01-31
[UNRATE | 13/127 | pre_employment_report] 2017-01 as of 2017-02-02
[UNRATE | 14/127 | month_open] 2017-02 as of 2017-02-01
[UNRATE | 14/127 | after_week_1] 2017-02 as of 2017-02-07
[UNRATE | 14/127 | after_week_2] 2017-02 as of 2017-02-14
[UNRATE | 14/127 | month_end] 2017-02 as of 2017-02-28
[UNRATE | 14/127 | pre_employment_report] 2017-02 as of 2017-03-09
[UNRATE | 15/127 | month_open] 2017-03 as of 2017-03-01
[UNRATE | 15/127 | after_week_1] 2017-03 as of 2017-03-07
[UNRATE | 15/127 | after_week_2] 2017-03 as of 2017-03-14
[UNRATE | 15/127 | month_end] 2017-03 as of 2017-03-31
[UNRATE | 15/127 | pre_employment_report] 2017-03 as of 2017-04-06
[UNRATE | 16/127 | month_open] 2017-04 as of 2017-04-01
[UNRATE | 16/127 | after_week_1] 2017-04 as of 2017-04-07
[UNRATE | 16/127 | after_week_2] 2017-04 as of 2017-04-14
[UNRATE | 16/127 | month_end] 2017-04 as of 2017-04-30
[UNRATE | 16/127 | pre_employment_report] 2017-04 as of 2017-05-04
[UNRATE | 17/127 | month_open] 2017-05 as of 2017-05-01
[UNRATE | 17/127 | after_week_1] 2017-05 as of 2017-05-07
[UNRATE | 17/127 | after_week_2] 2017-05 as of 2017-05-14
[UNRATE | 17/127 | month_end] 2017-05 as of 2017-05-31
[UNRATE | 17/127 | pre_employment_report] 2017-05 as of 2017-06-01
[UNRATE | 18/127 | month_open] 2017-06 as of 2017-06-01
[UNRATE | 18/127 | after_week_1] 2017-06 as of 2017-06-07
[UNRATE | 18/127 | after_week_2] 2017-06 as of 2017-06-14
[UNRATE | 18/127 | month_end] 2017-06 as of 2017-06-30
[UNRATE | 18/127 | pre_employment_report] 2017-06 as of 2017-07-06
[UNRATE | 19/127 | month_open] 2017-07 as of 2017-07-01
[UNRATE | 19/127 | after_week_1] 2017-07 as of 2017-07-07
[UNRATE | 19/127 | after_week_2] 2017-07 as of 2017-07-14
[UNRATE | 19/127 | month_end] 2017-07 as of 2017-07-31
[UNRATE | 19/127 | pre_employment_report] 2017-07 as of 2017-08-03
[UNRATE | 20/127 | month_open] 2017-08 as of 2017-08-01
[UNRATE | 20/127 | after_week_1] 2017-08 as of 2017-08-07
[UNRATE | 20/127 | after_week_2] 2017-08 as of 2017-08-14
[UNRATE | 20/127 | month_end] 2017-08 as of 2017-08-31
[UNRATE | 20/127 | pre_employment_report] 2017-08 as of 2017-08-31
[UNRATE | 21/127 | month_open] 2017-09 as of 2017-09-01
[UNRATE | 21/127 | after_week_1] 2017-09 as of 2017-09-07
[UNRATE | 21/127 | after_week_2] 2017-09 as of 2017-09-14
[UNRATE | 21/127 | month_end] 2017-09 as of 2017-09-30
[UNRATE | 21/127 | pre_employment_report] 2017-09 as of 2017-10-05
[UNRATE | 22/127 | month_open] 2017-10 as of 2017-10-01
[UNRATE | 22/127 | after_week_1] 2017-10 as of 2017-10-07
[UNRATE | 22/127 | after_week_2] 2017-10 as of 2017-10-14
[UNRATE | 22/127 | month_end] 2017-10 as of 2017-10-31
[UNRATE | 22/127 | pre_employment_report] 2017-10 as of 2017-11-02
[UNRATE | 23/127 | month_open] 2017-11 as of 2017-11-01
[UNRATE | 23/127 | after_week_1] 2017-11 as of 2017-11-07
[UNRATE | 23/127 | after_week_2] 2017-11 as of 2017-11-14
[UNRATE | 23/127 | month_end] 2017-11 as of 2017-11-30
[UNRATE | 23/127 | pre_employment_report] 2017-11 as of 2017-12-07
[UNRATE | 24/127 | month_open] 2017-12 as of 2017-12-01
[UNRATE | 24/127 | after_week_1] 2017-12 as of 2017-12-07
[UNRATE | 24/127 | after_week_2] 2017-12 as of 2017-12-14
[UNRATE | 24/127 | month_end] 2017-12 as of 2017-12-31
[UNRATE | 24/127 | pre_employment_report] 2017-12 as of 2018-01-04
[UNRATE | 25/127 | month_open] 2018-01 as of 2018-01-01
[UNRATE | 25/127 | after_week_1] 2018-01 as of 2018-01-07
[UNRATE | 25/127 | after_week_2] 2018-01 as of 2018-01-14
[UNRATE | 25/127 | month_end] 2018-01 as of 2018-01-31
[UNRATE | 25/127 | pre_employment_report] 2018-01 as of 2018-02-01
[UNRATE | 26/127 | month_open] 2018-02 as of 2018-02-01
[UNRATE | 26/127 | after_week_1] 2018-02 as of 2018-02-07
[UNRATE | 26/127 | after_week_2] 2018-02 as of 2018-02-14
[UNRATE | 26/127 | month_end] 2018-02 as of 2018-02-28
[UNRATE | 26/127 | pre_employment_report] 2018-02 as of 2018-03-08
[UNRATE | 27/127 | month_open] 2018-03 as of 2018-03-01
[UNRATE | 27/127 | after_week_1] 2018-03 as of 2018-03-07
[UNRATE | 27/127 | after_week_2] 2018-03 as of 2018-03-14
[UNRATE | 27/127 | month_end] 2018-03 as of 2018-03-31
[UNRATE | 27/127 | pre_employment_report] 2018-03 as of 2018-04-05
[UNRATE | 28/127 | month_open] 2018-04 as of 2018-04-01
[UNRATE | 28/127 | after_week_1] 2018-04 as of 2018-04-07
[UNRATE | 28/127 | after_week_2] 2018-04 as of 2018-04-14
[UNRATE | 28/127 | month_end] 2018-04 as of 2018-04-30
[UNRATE | 28/127 | pre_employment_report] 2018-04 as of 2018-05-03
[UNRATE | 29/127 | month_open] 2018-05 as of 2018-05-01
[UNRATE | 29/127 | after_week_1] 2018-05 as of 2018-05-07
[UNRATE | 29/127 | after_week_2] 2018-05 as of 2018-05-14
[UNRATE | 29/127 | month_end] 2018-05 as of 2018-05-31
[UNRATE | 29/127 | pre_employment_report] 2018-05 as of 2018-05-31
[UNRATE | 30/127 | month_open] 2018-06 as of 2018-06-01
[UNRATE | 30/127 | after_week_1] 2018-06 as of 2018-06-07
[UNRATE | 30/127 | after_week_2] 2018-06 as of 2018-06-14
[UNRATE | 30/127 | month_end] 2018-06 as of 2018-06-30
[UNRATE | 30/127 | pre_employment_report] 2018-06 as of 2018-07-05
[UNRATE | 31/127 | month_open] 2018-07 as of 2018-07-01
[UNRATE | 31/127 | after_week_1] 2018-07 as of 2018-07-07
[UNRATE | 31/127 | after_week_2] 2018-07 as of 2018-07-14
[UNRATE | 31/127 | month_end] 2018-07 as of 2018-07-31
[UNRATE | 31/127 | pre_employment_report] 2018-07 as of 2018-08-02
[UNRATE | 32/127 | month_open] 2018-08 as of 2018-08-01
[UNRATE | 32/127 | after_week_1] 2018-08 as of 2018-08-07
